#Beijing
r2---sn-ni57dn7s.gvt1.com	203.208.57.148
r3---sn-ni57dn7s.gvt1.com	203.208.57.149
r4---sn-ni57dn7s.gvt1.com	203.208.57.150
r5---sn-ni57dn7s.gvt1.com	203.208.57.151
r6---sn-ni57dn7s.gvt1.com	203.208.57.152
r7---sn-ni57dn7s.gvt1.com	203.208.57.153
r8---sn-ni57dn7s.gvt1.com	203.208.57.154
r9---sn-ni57dn7s.gvt1.com	203.208.57.155
r10---sn-ni57dn7s.gvt1.com	203.208.57.156
r11---sn-ni57dn7s.gvt1.com	203.208.57.157
r12---sn-ni57dn7s.gvt1.com	203.208.57.158
r13---sn-ni57dn7s.gvt1.com	203.208.57.159
r14---sn-ni57dn7s.gvt1.com	203.208.57.160
r15---sn-ni57dn7s.gvt1.com	203.208.57.161
r16---sn-ni57dn7s.gvt1.com	203.208.57.162
r17---sn-ni57dn7s.gvt1.com	203.208.57.163
r18---sn-ni57dn7s.gvt1.com	203.208.57.164

r1---sn-ni57dn7z.gvt1.com	203.208.57.211
r2---sn-ni57dn7z.gvt1.com	203.208.57.212
r3---sn-ni57dn7z.gvt1.com	203.208.57.213
r4---sn-ni57dn7z.gvt1.com	203.208.57.214
r5---sn-ni57dn7z.gvt1.com	203.208.57.215
r6---sn-ni57dn7z.gvt1.com	203.208.57.216
r7---sn-ni57dn7z.gvt1.com	203.208.57.217
r8---sn-ni57dn7z.gvt1.com	203.208.57.218
r9---sn-ni57dn7z.gvt1.com	203.208.57.219
r10---sn-ni57dn7z.gvt1.com	203.208.57.220
r11---sn-ni57dn7z.gvt1.com	203.208.57.221
r12---sn-ni57dn7z.gvt1.com	203.208.57.222
r13---sn-ni57dn7z.gvt1.com	203.208.57.223
r14---sn-ni57dn7z.gvt1.com	203.208.57.224
r15---sn-ni57dn7z.gvt1.com	203.208.57.225
r16---sn-ni57dn7z.gvt1.com	203.208.57.226
r17---sn-ni57dn7z.gvt1.com	203.208.57.227
r18---sn-ni57dn7z.gvt1.com	203.208.57.228

r1---sn-ni57dn76.gvt1.com	203.208.32.19
